lead_id,source,course_interested,city,budget_range,lead_score,first_contact_date,response_time_hours,num_follow_ups,converted,conversion_date,revenue
LD10088,Instagram Ads,Power BI & Tableau,Bengaluru,15k-30k,56,2026-03-19,50.6,2,N,,0
LD10089,Referral,Power BI & Tableau,Pune,<15k,71,2025-11-24,13.7,3,Y,2025-11-30,12629
LD10090,LinkedIn,Data Science Bootcamp,Mumbai,<15k,37,2025-11-12,7.5,3,N,,0
LD10091,Organic Search,Python for Data Analysis,Mumbai,<15k,39,2025-11-29,2.9,5,N,,0
LD10092,LinkedIn,Power BI & Tableau,Hyderabad,<15k,30,2026-04-20,15.8,3,N,,0
LD10093,Referral,Python for Data Analysis,Delhi NCR,30k-50k,90,2026-06-04,17.0,0,N,,0
LD10094,Organic Search,Business Analytics,Mumbai,30k-50k,66,2026-02-23,3.0,6,Y,2026-03-25,42711
LD10095,Instagram Ads,Digital Marketing,Pune,50k+,76,2025-11-17,45.7,4,Y,2025-11-20,63676
LD10096,Referral,Full Stack Development,Ahmedabad,30k-50k,43,2026-02-12,45.4,3,N,,0
LD10097,Google Ads,Digital Marketing,Bengaluru,<15k,50,2026-07-29,2.7,2,N,,0
LD10098,Referral,Python for Data Analysis,Hyderabad,<15k,68,2026-03-24,0.2,3,N,,0
LD10099,Instagram Ads,Power BI & Tableau,Delhi NCR,15k-30k,39,2026-07-23,103.8,2,N,,0
LD10100,Instagram Ads,Business Analytics,Hyderabad,30k-50k,68,2026-06-22,3.8,0,N,,0
LD10101,Referral,Business Analytics,Delhi NCR,30k-50k,31,2025-11-03,1.2,4,Y,2025-11-17,43568
LD10102,Google Ads,Business Analytics,Delhi NCR,50k+,59,2026-05-15,5.7,2,Y,2026-05-24,67066
LD10103,Instagram Ads,Power BI & Tableau,Delhi NCR,<15k,56,2026-05-05,4.5,2,N,,0
LD10104,Organic Search,Full Stack Development,Pune,<15k,52,2026-03-26,4.9,1,N,,0
LD10105,LinkedIn,Digital Marketing,Hyderabad,<15k,21,2026-01-11,31.9,3,N,,0
LD10106,LinkedIn,Full Stack Development,Delhi NCR,15k-30k,90,2026-04-23,7.5,3,N,,0
LD10107,Google Ads,Digital Marketing,Chennai,15k-30k,54,2025-11-30,14.5,4,N,,0
LD10108,Organic Search,Business Analytics,Ahmedabad,30k-50k,77,2026-02-26,10.0,0,N,,0
LD10109,Referral,Digital Marketing,Hyderabad,<15k,29,2026-03-03,18.1,1,N,,0
LD10110,Instagram Ads,Full Stack Development,Delhi NCR,50k+,57,2026-07-18,44.2,2,N,,0
LD10111,Organic Search,Data Science Bootcamp,Chennai,<15k,60,2026-06-27,31.9,1,N,,0
LD10112,Organic Search,Business Analytics,Pune,30k-50k,74,2026-01-10,3.5,4,Y,2026-01-20,36662
LD10113,Referral,Full Stack Development,Kolkata,50k+,35,2026-03-16,5.1,2,N,,0
LD10114,Google Ads,Power BI & Tableau,Hyderabad,<15k,76,2025-12-18,19.6,3,N,,0
LD10115,Referral,Data Science Bootcamp,Bengaluru,15k-30k,58,2026-07-07,1.0,4,N,,0
LD10116,Organic Search,Digital Marketing,Kolkata,15k-30k,48,2026-06-25,10.3,4,N,,0
LD10117,Google Ads,Business Analytics,Delhi NCR,<15k,76,2026-01-20,1.7,4,N,,0
LD10118,LinkedIn,Digital Marketing,Chennai,<15k,57,2026-04-23,19.4,4,N,,0
LD10119,Walk-in,Business Analytics,Hyderabad,15k-30k,33,2026-04-15,0.7,5,N,,0
LD10120,Walk-in,Digital Marketing,Pune,50k+,76,2025-12-11,52.0,5,N,,0
LD10121,Instagram Ads,Business Analytics,Pune,15k-30k,49,2026-05-27,2.3,2,N,,0
LD10122,Referral,Python for Data Analysis,Pune,<15k,57,2026-03-27,28.2,4,Y,2026-04-11,10851
LD10123,LinkedIn,Full Stack Development,Kolkata,30k-50k,73,2026-05-31,13.5,6,N,,0
LD10124,Organic Search,Full Stack Development,Delhi NCR,15k-30k,61,2026-03-24,9.7,3,N,,0
LD10125,Google Ads,Business Analytics,Kolkata,<15k,16,2025-10-31,6.3,1,N,,0
LD10126,Instagram Ads,Data Science Bootcamp,Mumbai,50k+,30,2026-01-27,53.9,2,N,,0
LD10127,Walk-in,Business Analytics,Chennai,50k+,58,2025-11-05,11.3,3,N,,0
LD10128,Referral,Digital Marketing,Mumbai,15k-30k,64,2026-07-11,4.7,1,Y,2026-07-22,21340
LD10129,Instagram Ads,Data Science Bootcamp,Kolkata,15k-30k,38,2026-06-27,62.6,5,N,,0
LD10130,Instagram Ads,Digital Marketing,Hyderabad,30k-50k,64,2026-06-15,4.6,3,N,,0
LD10131,Instagram Ads,Digital Marketing,Kolkata,30k-50k,20,2026-01-22,2.5,6,N,,0
LD10132,Organic Search,Full Stack Development,Bengaluru,30k-50k,29,2025-11-15,12.3,1,N,,0
LD10133,Instagram Ads,Data Science Bootcamp,Pune,30k-50k,68,2026-06-27,34.3,4,N,,0
LD10134,LinkedIn,Power BI & Tableau,Bengaluru,30k-50k,91,2026-07-16,28.7,9,N,,0
LD10135,LinkedIn,Data Science Bootcamp,Chennai,50k+,41,2025-11-23,0.5,2,N,,0
LD10136,LinkedIn,Full Stack Development,Kolkata,30k-50k,64,2026-03-12,12.7,0,N,,0
LD10137,Referral,Power BI & Tableau,Kolkata,<15k,60,2025-11-18,71.5,4,N,,0
LD10138,Walk-in,Power BI & Tableau,Delhi NCR,15k-30k,46,2026-05-26,7.5,4,Y,2026-05-29,22915
LD10139,Instagram Ads,Data Science Bootcamp,Bengaluru,50k+,62,2026-05-28,15.7,2,Y,2026-05-29,62706
LD10140,Google Ads,Power BI & Tableau,Chennai,15k-30k,44,2025-12-05,26.5,4,N,,0
LD10141,Instagram Ads,Python for Data Analysis,Chennai,<15k,77,2026-03-09,28.5,2,N,,0
LD10142,Walk-in,Power BI & Tableau,Hyderabad,30k-50k,81,2026-03-30,2.9,4,Y,2026-04-28,39274
LD10143,LinkedIn,Full Stack Development,Delhi NCR,30k-50k,29,2026-01-11,4.7,1,N,,0
LD10144,Google Ads,Full Stack Development,Chennai,50k+,83,2026-06-26,62.1,6,N,,0
LD10145,Instagram Ads,Python for Data Analysis,Pune,30k-50k,62,2026-02-23,45.7,3,N,,0
LD10146,Instagram Ads,Business Analytics,Kolkata,50k+,39,2025-12-27,12.2,1,N,,0
LD10147,Organic Search,Full Stack Development,Delhi NCR,15k-30k,51,2026-03-27,6.7,1,N,,0
LD10148,Referral,Python for Data Analysis,Delhi NCR,<15k,41,2026-05-18,6.2,3,N,,0
LD10149,Instagram Ads,Digital Marketing,Kolkata,15k-30k,65,2025-12-24,5.0,3,Y,2025-12-27,22077
LD10150,Instagram Ads,Power BI & Tableau,Ahmedabad,30k-50k,90,2026-01-24,7.8,0,Y,2026-01-28,37061
LD10151,Referral,Python for Data Analysis,Mumbai,50k+,60,2026-07-29,21.1,2,N,,0
LD10152,Instagram Ads,Power BI & Tableau,Pune,50k+,39,2026-04-26,49.5,1,N,,0
LD10153,LinkedIn,Full Stack Development,Delhi NCR,<15k,57,2026-02-27,22.5,3,N,,0
LD10154,Google Ads,Power BI & Tableau,Hyderabad,30k-50k,74,2026-03-21,18.6,2,Y,2026-03-23,37276
LD10155,LinkedIn,Business Analytics,Mumbai,30k-50k,54,2025-12-03,4.5,3,N,,0
LD10156,Organic Search,Business Analytics,Bengaluru,15k-30k,97,2025-12-31,4.7,5,Y,2026-01-03,21835
LD10157,LinkedIn,Data Science Bootcamp,Ahmedabad,15k-30k,59,2026-01-31,23.4,3,N,,0
LD10158,Organic Search,Power BI & Tableau,Ahmedabad,<15k,75,2026-04-09,12.0,5,N,,0
LD10159,Referral,Python for Data Analysis,Kolkata,15k-30k,61,2026-01-01,18.0,4,N,,0
LD10160,Instagram Ads,Python for Data Analysis,Mumbai,50k+,49,2025-12-30,36.8,3,N,,0
LD10161,Google Ads,Business Analytics,Hyderabad,<15k,23,2025-11-19,62.8,3,N,,0
LD10162,Instagram Ads,Python for Data Analysis,Pune,15k-30k,49,2026-04-21,13.2,3,N,,0
LD10163,Organic Search,Full Stack Development,Bengaluru,50k+,71,2026-01-01,3.3,1,N,,0
LD10164,LinkedIn,Power BI & Tableau,Hyderabad,15k-30k,79,2026-07-05,29.5,3,N,,0
LD10165,Instagram Ads,Python for Data Analysis,Ahmedabad,15k-30k,52,2026-06-22,13.6,1,N,,0
LD10166,Google Ads,Full Stack Development,Ahmedabad,30k-50k,34,2025-11-19,12.7,0,N,,0
LD10167,Walk-in,Power BI & Tableau,Ahmedabad,50k+,57,2026-01-03,60.4,0,N,,0
LD10168,Google Ads,Business Analytics,Ahmedabad,50k+,64,2026-05-01,13.0,2,Y,2026-05-04,67660
LD10169,Instagram Ads,Digital Marketing,Delhi NCR,15k-30k,51,2025-12-28,20.1,3,N,,0
LD10170,LinkedIn,Power BI & Tableau,Mumbai,50k+,59,2025-12-06,52.1,5,N,,0
LD10171,Organic Search,Digital Marketing,Hyderabad,50k+,61,2026-07-13,20.3,3,N,,0
LD10172,Instagram Ads,Full Stack Development,Mumbai,30k-50k,39,2026-04-04,68.0,6,N,,0
LD10173,Organic Search,Digital Marketing,Chennai,30k-50k,51,2026-03-09,29.7,4,N,,0
LD10174,Google Ads,Power BI & Tableau,Pune,<15k,55,2026-06-02,9.1,3,N,,0
LD10175,Instagram Ads,Business Analytics,Kolkata,15k-30k,56,2026-06-08,1.4,4,N,,0
LD10176,Instagram Ads,Full Stack Development,Mumbai,15k-30k,77,2025-12-21,7.5,3,N,,0
LD10177,Organic Search,Data Science Bootcamp,Kolkata,50k+,70,2025-11-26,30.2,2,N,,0
LD10178,Walk-in,Digital Marketing,Kolkata,50k+,60,2026-02-25,1.1,2,N,,0
LD10179,Instagram Ads,Data Science Bootcamp,Kolkata,15k-30k,85,2026-02-23,6.0,3,N,,0
LD10180,Google Ads,Python for Data Analysis,Kolkata,<15k,70,2026-03-07,2.3,2,N,,0
LD10181,Organic Search,Python for Data Analysis,Chennai,<15k,57,2026-05-18,2.0,5,N,,0
LD10182,Referral,Digital Marketing,Kolkata,50k+,46,2026-05-02,30.8,2,N,,0
LD10183,Google Ads,Power BI & Tableau,Ahmedabad,15k-30k,49,2026-07-26,33.0,4,N,,0
LD10184,Instagram Ads,Business Analytics,Kolkata,30k-50k,79,2025-11-26,17.6,2,N,,0
LD10185,LinkedIn,Python for Data Analysis,Kolkata,<15k,79,2026-02-17,4.4,1,N,,0
LD10186,Instagram Ads,Digital Marketing,Pune,50k+,87,2026-01-31,8.9,3,N,,0
LD10187,Google Ads,Python for Data Analysis,Bengaluru,15k-30k,66,2026-06-23,10.1,4,N,,0
LD10188,Instagram Ads,Python for Data Analysis,Hyderabad,<15k,87,2026-01-06,1.6,3,N,,0
LD10189,Instagram Ads,Full Stack Development,Pune,50k+,75,2025-12-21,13.2,2,N,,0
LD10190,Referral,Python for Data Analysis,Bengaluru,15k-30k,57,2026-03-02,7.1,6,Y,2026-03-08,24013
LD10191,Instagram Ads,Digital Marketing,Chennai,50k+,86,2026-02-23,21.1,2,N,,0
LD10192,Organic Search,Business Analytics,Chennai,50k+,48,2026-01-15,28.6,3,N,,0
LD10193,Walk-in,Digital Marketing,Delhi NCR,50k+,44,2026-01-07,14.0,3,N,,0
LD10194,Organic Search,Python for Data Analysis,Hyderabad,30k-50k,62,2026-07-10,22.2,0,N,,0
LD10195,Instagram Ads,Python for Data Analysis,Bengaluru,<15k,38,2026-02-28,8.0,2,N,,0
LD10196,Referral,Digital Marketing,Hyderabad,15k-30k,22,2026-06-23,13.1,6,N,,0
LD10197,Google Ads,Full Stack Development,Bengaluru,<15k,31,2026-03-30,37.9,4,N,,0
LD10198,Google Ads,Business Analytics,Bengaluru,15k-30k,47,2025-11-13,66.8,5,N,,0
LD10199,Organic Search,Power BI & Tableau,Mumbai,15k-30k,42,2026-07-30,3.5,2,Y,2026-08-01,24037
LD10200,Referral,Business Analytics,Hyderabad,50k+,51,2026-06-16,60.8,3,N,,0
LD10201,Referral,Power BI & Tableau,Ahmedabad,15k-30k,50,2026-07-22,4.4,3,Y,2026-08-28,20054
LD10202,Organic Search,Full Stack Development,Chennai,30k-50k,84,2026-07-10,74.1,1,N,,0
LD10203,Google Ads,Business Analytics,Pune,<15k,58,2026-06-19,1.9,1,N,,0
LD10204,Referral,Digital Marketing,Bengaluru,<15k,55,2025-12-15,6.6,3,N,,0
LD10205,Google Ads,Digital Marketing,Kolkata,50k+,43,2026-03-12,3.9,5,Y,2026-03-15,68383
LD10206,Instagram Ads,Full Stack Development,Hyderabad,15k-30k,3,2025-12-28,13.8,1,N,,0
LD10207,Walk-in,Power BI & Tableau,Hyderabad,15k-30k,78,2026-02-17,29.1,3,Y,2026-02-22,20460
LD10208,Google Ads,Full Stack Development,Hyderabad,30k-50k,51,2025-11-16,24.1,3,N,,0
LD10209,LinkedIn,Power BI & Tableau,Chennai,<15k,53,2026-02-11,56.0,4,N,,0
LD10210,Organic Search,Power BI & Tableau,Chennai,50k+,73,2026-07-26,40.6,2,N,,0
LD10211,Instagram Ads,Data Science Bootcamp,Bengaluru,30k-50k,59,2026-01-11,24.1,2,Y,2026-01-12,36096
LD10212,Walk-in,Python for Data Analysis,Hyderabad,50k+,45,2026-06-02,24.1,2,N,,0
LD10213,Organic Search,Python for Data Analysis,Ahmedabad,30k-50k,78,2026-03-04,3.7,1,Y,2026-03-05,36657
LD10214,Walk-in,Full Stack Development,Kolkata,15k-30k,69,2026-02-23,6.3,3,Y,2026-03-02,23208
LD10215,Referral,Business Analytics,Ahmedabad,30k-50k,84,2026-07-19,13.6,0,N,,0
LD10216,LinkedIn,Python for Data Analysis,Delhi NCR,50k+,90,2026-07-29,19.2,1,N,,0
LD10217,Instagram Ads,Digital Marketing,Hyderabad,15k-30k,50,2026-03-31,8.4,4,N,,0
LD10218,Referral,Digital Marketing,Mumbai,50k+,49,2026-05-15,6.1,6,N,,0
LD10219,Organic Search,Python for Data Analysis,Chennai,50k+,53,2025-12-12,27.0,5,N,,0
LD10220,LinkedIn,Data Science Bootcamp,Chennai,50k+,53,2026-01-20,4.3,6,N,,0
LD10221,Organic Search,Business Analytics,Mumbai,50k+,50,2026-07-22,37.2,3,N,,0
LD10222,Instagram Ads,Digital Marketing,Chennai,30k-50k,37,2026-04-07,14.6,3,N,,0
LD10223,Referral,Digital Marketing,Bengaluru,30k-50k,39,2026-03-28,0.1,1,N,,0
LD10224,Google Ads,Power BI & Tableau,Hyderabad,15k-30k,67,2026-05-23,7.1,1,N,,0
LD10225,Walk-in,Business Analytics,Ahmedabad,50k+,24,2025-11-15,8.3,5,N,,0
LD10226,Instagram Ads,Power BI & Tableau,Ahmedabad,15k-30k,80,2026-04-08,16.0,2,N,,0
LD10227,Referral,Full Stack Development,Ahmedabad,50k+,77,2026-03-17,14.8,5,N,,0
LD10228,Organic Search,Data Science Bootcamp,Delhi NCR,<15k,42,2026-06-20,13.1,2,N,,0
LD10229,Instagram Ads,Business Analytics,Mumbai,50k+,77,2025-12-12,4.5,8,N,,0
LD10230,Referral,Digital Marketing,Ahmedabad,30k-50k,48,2026-07-20,16.0,2,Y,2026-07-21,42653
LD10231,Instagram Ads,Power BI & Tableau,Kolkata,30k-50k,65,2025-11-21,13.1,3,N,,0
LD10232,Google Ads,Full Stack Development,Chennai,30k-50k,44,2025-12-20,2.6,2,N,,0
LD10233,Organic Search,Full Stack Development,Delhi NCR,50k+,70,2026-04-11,26.1,2,N,,0
LD10234,Instagram Ads,Digital Marketing,Mumbai,30k-50k,79,2026-05-03,1.1,2,N,,0
LD10235,Instagram Ads,Data Science Bootcamp,Chennai,15k-30k,44,2026-01-03,5.7,3,Y,2026-01-20,20412
LD10236,Referral,Data Science Bootcamp,Mumbai,15k-30k,54,2025-12-02,9.5,2,N,,0
LD10237,Walk-in,Business Analytics,Delhi NCR,50k+,23,2026-07-01,14.8,1,N,,0
LD10238,Walk-in,Full Stack Development,Hyderabad,30k-50k,44,2026-01-06,5.3,3,N,,0
LD10239,Referral,Business Analytics,Mumbai,30k-50k,40,2026-04-11,7.7,1,N,,0
LD10240,Referral,Digital Marketing,Delhi NCR,15k-30k,38,2026-04-18,13.3,3,N,,0
LD10241,Referral,Data Science Bootcamp,Delhi NCR,15k-30k,46,2026-02-22,1.5,2,N,,0
LD10242,Organic Search,Data Science Bootcamp,Delhi NCR,<15k,95,2026-04-08,14.2,1,N,,0
LD10243,Google Ads,Full Stack Development,Ahmedabad,15k-30k,45,2026-03-22,1.0,2,N,,0
LD10244,Referral,Data Science Bootcamp,Delhi NCR,<15k,35,2026-07-13,4.1,7,Y,2026-07-18,12982
LD10245,Referral,Python for Data Analysis,Ahmedabad,50k+,57,2025-12-25,12.4,3,Y,2026-01-06,66008
LD10246,Referral,Digital Marketing,Bengaluru,15k-30k,26,2026-05-14,28.8,3,N,,0
LD10247,Organic Search,Digital Marketing,Hyderabad,50k+,44,2026-01-04,6.9,4,N,,0
LD10248,Organic Search,Data Science Bootcamp,Ahmedabad,50k+,44,2026-02-16,3.0,2,N,,0
LD10249,LinkedIn,Data Science Bootcamp,Pune,<15k,51,2026-05-02,12.7,5,N,,0
LD10250,Instagram Ads,Business Analytics,Hyderabad,30k-50k,74,2026-01-20,14.8,3,N,,0
LD10251,Instagram Ads,Business Analytics,Kolkata,<15k,51,2026-01-25,35.2,4,N,,0
LD10252,Google Ads,Power BI & Tableau,Kolkata,15k-30k,81,2026-05-24,31.7,2,N,,0
LD10253,Instagram Ads,Python for Data Analysis,Delhi NCR,50k+,87,2025-11-19,4.9,1,N,,0
LD10254,Referral,Power BI & Tableau,Delhi NCR,50k+,48,2026-03-05,7.8,4,N,,0
LD10255,Google Ads,Power BI & Tableau,Hyderabad,<15k,46,2026-07-30,20.9,1,N,,0
LD10256,Instagram Ads,Business Analytics,Delhi NCR,15k-30k,65,2026-07-29,18.5,3,Y,2026-08-01,22673
LD10257,Walk-in,Full Stack Development,Pune,<15k,52,2025-11-20,36.9,6,N,,0
LD10258,LinkedIn,Business Analytics,Hyderabad,15k-30k,35,2025-12-28,14.2,2,N,,0
LD10259,Instagram Ads,Business Analytics,Kolkata,<15k,72,2026-01-11,24.2,5,N,,0
LD10260,LinkedIn,Python for Data Analysis,Delhi NCR,50k+,44,2026-07-12,2.1,2,N,,0
LD10261,Instagram Ads,Data Science Bootcamp,Delhi NCR,15k-30k,74,2026-06-28,11.4,3,N,,0
